,k,majority_index,mismatch_rate
0,2,1,0.48
1,2,2,0.0
2,5,1,0.48
3,5,2,0.0
4,5,3,0.2
5,5,4,0.0
6,5,5,0.0
7,10,1,0.48
8,10,2,0.2
9,10,3,0.0
10,10,4,0.0
11,10,5,0.0
12,10,6,0.28
13,10,7,0.5
14,10,8,0.3
15,10,9,0.0
16,10,10,0.0
17,30,1,0.12
18,30,2,0.04
19,30,3,0.0
20,30,4,0.0
21,30,5,0.5
22,30,6,0.0
23,30,7,0.38
24,30,8,0.2
25,30,9,0.2
26,30,10,0.03
27,30,11,0.0
28,30,12,0.25
29,30,13,0.0
30,30,14,0.0
31,30,15,0.0
32,30,16,0.2
33,30,17,0.0
34,30,18,0.24
35,30,19,0.0
36,30,20,0.05
37,30,21,0.0
38,30,22,0.0
39,30,23,0.33
40,30,24,0.0
41,30,25,0.0
42,30,26,0.0
43,30,27,0.0
44,30,28,0.0
45,30,29,0.0
46,30,30,0.45
47,50,1,0.0
48,50,2,0.03
49,50,3,0.0
50,50,4,0.04
51,50,5,0.0
52,50,6,0.22
53,50,7,0.0
54,50,8,0.38
55,50,9,0.44
56,50,10,0.2
57,50,11,0.0
58,50,12,0.0
59,50,13,0.0
60,50,14,0.0
61,50,15,0.2
62,50,16,0.2
63,50,17,0.0
64,50,18,0.0
65,50,19,0.25
66,50,20,0.0
67,50,21,0.0
68,50,22,0.25
69,50,23,0.5
70,50,24,0.0
71,50,25,0.0
72,50,26,0.0
73,50,27,0.0
74,50,28,0.33
75,50,29,0.0
76,50,30,0.0
77,50,31,0.0
78,50,32,0.0
79,50,33,0.0
80,50,34,0.5
81,50,35,0.0
82,50,36,0.0
83,50,37,0.0
84,50,38,0.0
85,50,39,0.0
86,50,40,0.0
87,50,41,0.0
88,50,42,0.0
89,50,43,0.0
90,50,44,0.42
91,50,45,0.0
92,50,46,0.0
93,50,47,0.0
94,50,48,0.0
95,50,49,0.0
96,50,50,0.0
